name,price,rating,category,number of reviews,type,Distance from Downtown
Westgate New York Grand Central,"US$1,060",8.3,Very Good,89 reviews,Luxe Queen,2.2 km from downtown
KAMA CENTRAL PARK,US$357,7.7,Good,"3,610 reviews",Single Bed in 10-Bed Dormitory Room,3.8 km from downtown
Millennium Hilton New York One UN Plaza,"US$1,094",7.4,Good,"2,021 reviews",Queen Room - City View,2.2 km from downtown
TownePlace Suites by Marriott New York Manhattan/Chelsea,"US$1,288",8.3,Very Good,"7,755 reviews",King Studio,2.5 km from downtown
Hotel Hugo,"US$1,120",7.8,Good,"1,372 reviews",Superior King Room,5.2 km from downtown
Element Times Square West,"US$1,207",8.1,Very Good,"7,732 reviews","Studio, 1 King",1.6 km from downtown
Hotel Hayden New York,"US$1,025",7.2,Good,"3,209 reviews",King Room - Disability Access,2.5 km from downtown
Fairfield Inn & Suites New York Manhattan/Downtown East,"US$1,185",8.3,Very Good,"1,329 reviews",King Room,6.2 km from downtown
Royalton New York,"US$1,091",7.5,Good,"3,116 reviews",Superior Queen Room,1.4 km from downtown
Refinery Hotel - New York,"US$1,589",8.7,Excellent,587 reviews,Studio Queen Room,1.8 km from downtown
Hilton Garden Inn New York Manhattan Midtown East,"US$1,163",7.4,Good,"1,286 reviews",King Room,1.6 km from downtown
NoMo SoHo,"US$1,053",7.8,Good,"1,431 reviews",Classic Queen,5.6 km from downtown
Wyndham Garden Chinatown,"US$1,355",7.6,Good,853 reviews,"Superior Twin Room, Upper Floor",5.8 km from downtown
Interfaith Retreats,US$623,7.8,Good,"1,473 reviews",Single Pod Room with Shared Bathroom,2.5 km from downtown
Hyatt Grand Central New York,"US$1,114",7.4,Good,"2,988 reviews",Queen Room with Tub - Disability Access,1.9 km from downtown
Courtyard by Marriott New York World Trade Center Area,"US$1,203",8.3,Very Good,"2,021 reviews",King Room,7.2 km from downtown
Warwick New York,"US$1,305",8.2,Very Good,"6,649 reviews",Premier King Bed,0.7 km from downtown
Four Points by Sheraton Midtown - Times Square,"US$1,288",8.2,Very Good,"3,233 reviews",King Room,1.6 km from downtown
Sheraton Tribeca New York Hotel,"US$1,125",7.9,Good,"3,033 reviews",Standard King Room,5.6 km from downtown
Cambria Hotel New York - Chelsea,"US$1,370",8.1,Very Good,"3,931 reviews",King Room - Disability Access,2.5 km from downtown
Hotel Mimosa,US$984,8.3,Very Good,"1,128 reviews",Queen Room,6.1 km from downtown
"The Bernic Hotel New York City,Tapestry Collection by Hilton","US$1,322",8.0,Very Good,741 reviews,Queen Room,1.7 km from downtown
UNTITLED at 3 Freeman Alley,"US$1,116",8.5,Very Good,675 reviews,Studio Mini,5.2 km from downtown
Hyatt Centric Wall Street New York,"US$1,051",8.1,Very Good,814 reviews,King Room,7.3 km from downtown
MADE Hotel,"US$1,517",8.7,Excellent,"1,093 reviews",Studio,2.5 km from downtown
U.S. Pacific Hotel,US$470,6.0,Review score,"2,884 reviews",Standard Double (No Window),5.7 km from downtown
The Empire Hotel New York,"US$1,004",6.9,Review score,"5,312 reviews",Economy Single Room,400 m from downtown
Holiday Inn Wall Street by IHG,US$930,7.4,Good,"1,111 reviews",King Room,7 km from downtown
Hilton Garden Inn New York/Tribeca,"US$1,130",7.5,Good,657 reviews,King Room with Roll-In Shower - Mobility Access,5.6 km from downtown
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,"US$1,342",8.0,Very Good,"4,475 reviews",King Room,2.1 km from downtown
The Chelsean New York,"US$1,031",7.1,Good,"3,038 reviews",King Room - Disability Access,2.8 km from downtown
Hyatt Centric Midtown 5th Avenue New York,"US$1,100",8.0,Very Good,"1,227 reviews",Standard King Room,1.9 km from downtown
Lamartine Chelsea,US$652,6.2,Review score,382 reviews,Single Room with Shared Shower and Toilet,2.4 km from downtown
Holiday Inn Manhattan 6th Ave - Chelsea by IHG,US$962,7.7,Good,"2,663 reviews",Standard King Room,2.7 km from downtown
"Marriott Vacation Club®, New York City","US$1,259",8.8,Excellent,420 reviews,King Room,1.9 km from downtown
Hilton Club The Quin New York,"US$1,546",8.9,Excellent,"1,977 reviews",King Studio Plus,0.5 km from downtown
West Side YMCA,US$594,6.6,Review score,"15,438 reviews",Private Single Room with Shared Bathroom,350 m from downtown
Aura Hotel Times Square Newly Renovated,US$939,7.8,Good,601 reviews,Superior Queen Room,1.3 km from downtown
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,"US$1,188",8.4,Very Good,"4,993 reviews",King Room,7.7 km from downtown
The Jane Hotel,US$995,5.6,Review score,"1,393 reviews",Standard Cabin with Shared Bathroom,4.1 km from downtown
Hilton Garden Inn New York - Times Square Central,"US$1,101",7.7,Good,"1,772 reviews",Queen Room,1.5 km from downtown
Courtyard by Marriott Times Square West,"US$1,298",8.4,Very Good,"3,018 reviews",King Room with Roll-in Shower - Mobility and Hearing Accessible,1.8 km from downtown
Courtyard by Marriott New York Manhattan/Chelsea,"US$1,256",8.3,Very Good,"1,612 reviews",King Room,2.4 km from downtown
Arlo Midtown,"US$1,092",8.7,Excellent,"5,965 reviews",King Room,1.7 km from downtown
Chelsea Rooms NYC,US$944,7.5,Good,"1,135 reviews",Deluxe Double Room,2.5 km from downtown
Hotel 309,US$977,6.2,Review score,"1,867 reviews",Economy Room with Shared Bath,3.6 km from downtown
Kimpton Theta New York - Times Square by IHG,"US$1,175",8.2,Very Good,"1,692 reviews",Premium King Room - High Floor,0.9 km from downtown
Courtyard New York Manhattan/Midtown East,"US$1,280",8.1,Very Good,"1,657 reviews",King Room,1.6 km from downtown
Moxy NYC Downtown,"US$1,190",8.1,Very Good,"2,160 reviews",Queen Room,6.7 km from downtown
City Club Hotel,"US$1,211",7.3,Good,"2,551 reviews",Petite Room,1.4 km from downtown
InterContinental New York Times Square by IHG,"US$1,460",8.0,Very Good,"1,773 reviews",Classic King Room - Low Floor,1.2 km from downtown
The Knickerbocker,"US$1,616",8.5,Very Good,"2,286 reviews",Superior Room with One King Bed,1.4 km from downtown
The Dominick Hotel,"US$2,224",8.6,Excellent,"1,152 reviews",Hudson Square King Room,5.1 km from downtown
Holiday Inn Express New York City Chelsea by IHG,"US$1,144",7.8,Good,"3,545 reviews",Standard King Room,2.4 km from downtown
"The Moore, New York City, a Member of Design Hotels","US$1,400",8.5,Very Good,"1,848 reviews",Accessible Queen,3 km from downtown
The Hotel at Fifth Avenue,"US$1,049",8.0,Very Good,"3,661 reviews",Queen Room - Non-Smoking,2.3 km from downtown
The Gregorian New York City,"US$1,276",8.3,Very Good,"1,204 reviews",Double Room,2.1 km from downtown
Riu Plaza Manhattan Times Square,"US$1,363",8.7,Excellent,"13,012 reviews",Deluxe King,1 km from downtown
Nolitan Hotel SoHo - New York,US$996,7.9,Good,"1,527 reviews",Deluxe Queen Room,5.4 km from downtown
Hilton Garden Inn West 35th Street,"US$1,352",8.3,Very Good,"3,009 reviews",King Room,2 km from downtown
Courtyard by Marriott New York Manhattan/Central Park,"US$1,297",8.2,Very Good,"5,554 reviews",King or Queen Room with City View - Hearing Accessible,450 m from downtown
The Belvedere Hotel,"US$1,242",8.0,Very Good,"5,805 reviews",Standard King Room,0.9 km from downtown
Omni Berkshire Place,"US$1,468",8.6,Excellent,"1,708 reviews",Deluxe King Room,1.1 km from downtown
The Times Square EDITION New York,"US$1,775",8.7,Excellent,"1,080 reviews",Queen Room,1 km from downtown
Moxy NYC Chelsea,"US$1,232",8.3,Very Good,"3,050 reviews",King Room,2.5 km from downtown
Wingate by Wyndham New York Midtown South/5th Ave,"US$1,113",8.4,Very Good,"2,383 reviews",King Room - Non-Smoking,1.9 km from downtown
Smyth Tribeca,"US$1,491",8.3,Very Good,758 reviews,Superior Queen Room,6.3 km from downtown
Moxy NYC East Village,"US$1,575",8.3,Very Good,"1,797 reviews","Guest room, 1 Queen",4.1 km from downtown
"Le Méridien New York, Fifth Avenue","US$1,370",8.0,Very Good,67 reviews,Classic King Room,2.4 km from downtown
Hotel 48LEX New York,"US$1,301",7.4,Good,389 reviews,Queen Studio,1.6 km from downtown
Hampton Inn Madison Square Garden,US$986,7.4,Good,"1,076 reviews",King Room - Non-Smoking,2.3 km from downtown
"The Lexington Hotel, Autograph Collection","US$1,118",7.9,Good,704 reviews,Standard Queen Room with Adapted Tub - Mobility Accessible,1.6 km from downtown
Hotel Richland LES,"US$1,120",8.3,Very Good,"1,638 reviews",Queen Room - Disability Access,6 km from downtown
Citadines Connect Fifth Avenue New York,"US$1,098",7.4,Good,"3,238 reviews",Premier King Room,1.4 km from downtown
Hampton Inn Manhattan/Downtown- Financial District,"US$1,041",7.8,Good,637 reviews,1 Double Room - Disability Access/Non-Smoking,7.7 km from downtown
Hilton New York Times Square,"US$1,419",7.3,Good,"1,242 reviews",King Room with Mobility Accessible Tub and City View,1.4 km from downtown
Aloft New York Chelsea,"US$1,134",8.3,Very Good,237 reviews,King Room,2.5 km from downtown
Grayson Hotel,"US$1,252",8.6,Excellent,"1,147 reviews",King Room,1.8 km from downtown
Aloft Manhattan Downtown - Financial District,"US$1,072",8.0,Very Good,"1,099 reviews","Guest Room, 1 King",6.8 km from downtown
THE CENTRAL PARK EAST by THE MUSEUM MILE,US$945,7.3,Good,39 reviews,Double Room with Shared Bathroom,3.9 km from downtown
The Pearl Hotel,"US$1,288",8.7,Excellent,"2,148 reviews",Superior Queen Room,0.8 km from downtown
Arlo NoMad,"US$1,194",8.4,Very Good,"2,241 reviews",Queen Room,2.4 km from downtown
"Dream Midtown, by Hyatt","US$1,082",7.8,Good,"1,449 reviews",Double Room - Bronze,400 m from downtown
Virgin Hotels New York City,"US$1,848",8.3,Very Good,"1,454 reviews",Chamber King ADA,2.5 km from downtown
Hilton Garden Inn New York/Midtown Park Avenue,"US$1,156",8.1,Very Good,"2,247 reviews",King Room - Hearing Access,2.4 km from downtown
"The Beekman, A Thompson Hotel, by Hyatt","US$1,967",8.8,Excellent,352 reviews,Queen Room with Bathtub - Mobility Accessible,6.7 km from downtown
Hyatt Herald Square New York,"US$1,032",8.1,Very Good,"1,320 reviews",King Room,2.4 km from downtown
CIVILIAN Hotel,"US$1,198",8.7,Excellent,"4,900 reviews",Double Room,0.9 km from downtown
Best Western Premier Herald Square,"US$1,089",7.8,Good,620 reviews,King Room - Non-Smoking,2 km from downtown
"Club Quarters Hotel Grand Central, New York",US$959,8.4,Very Good,"4,913 reviews",Small Queen Room,1.8 km from downtown
Carnegie Hotel,"US$1,305",8.6,Excellent,"2,263 reviews",Superior Queen Room,400 m from downtown
Artezen Hotel,US$968,9.2,Wonderful,"1,345 reviews",Deluxe Queen Room,6.9 km from downtown
Hilton Club New York,"US$1,316",8.7,Excellent,369 reviews,King Studio,0.7 km from downtown
LUMA Hotel - Times Square,"US$1,965",9.0,Wonderful,"4,178 reviews",Urban King Bed Studio - Accessible Bathtub,1.5 km from downtown
W New York - Times Square,"US$1,371",7.9,Good,"1,370 reviews",Wonderful King Room with City View and Adapted Tub - Mobility and Hearing Accessible,1 km from downtown
Sanctuary Hotel New York,"US$1,041",8.2,Very Good,"1,518 reviews",Cozy Queen,1.1 km from downtown
Eurostars Wall Street,"US$1,395",8.0,Very Good,"1,376 reviews",Queen Room,7.3 km from downtown
Hampton Inn Manhattan-35th St Empire State Bldg,"US$1,356",8.3,Very Good,"6,512 reviews",King Room with View,2 km from downtown
Hilton New York Fashion District,"US$1,251",7.6,Good,883 reviews,Queen Room with Roll-in Shower - Mobility Accessible,2.7 km from downtown
Margaritaville Resort Times Square,"US$1,592",8.6,Excellent,"4,176 reviews",Standard Room one queen Bed,1.5 km from downtown
Leon Hotel LES,"US$1,113",8.2,Very Good,"2,575 reviews",Deluxe Room,5.9 km from downtown
Bryant Park Hotel,"US$1,975",9.1,Wonderful,"1,214 reviews",Superior Queen Room,1.7 km from downtown
The Flat NYC,"US$1,297",7.9,Good,"2,601 reviews",Single Room with Shared Bathroom,2.9 km from downtown
"The Time New York, part of JdV by Hyatt","US$1,067",7.8,Good,"1,730 reviews",Double Room,0.8 km from downtown
Conrad New York Downtown,"US$2,980",8.9,Excellent,763 reviews,Deluxe King Suite - Hearing Access,6.6 km from downtown
Washington Square Hotel,"US$1,650",8.4,Very Good,"1,008 reviews",Superior Queen Room,4.2 km from downtown
Hotel Giraffe by Library Hotel Collection,"US$1,349",8.9,Excellent,545 reviews,Queen Room,2.9 km from downtown
Sofitel New York,"US$1,458",7.8,Good,"1,121 reviews",Superior Queen Room,1.4 km from downtown
Hotel AKA NoMad,"US$1,311",8.3,Very Good,712 reviews,NoMad Queen,2.5 km from downtown
Cozy room in east Village apartment,US$600,6.4,Review score,5 reviews,Single Room,4.5 km from downtown
AC Hotel by Marriott New York Downtown,"US$1,193",8.5,Very Good,"1,571 reviews",King Guest Room - One King Bed - Non-Smoking,7.2 km from downtown
Hampton Inn Manhattan Grand Central,"US$1,390",8.1,Very Good,"1,027 reviews",King Room - Non-Smoking,2.1 km from downtown
Riu Plaza New York Times Square,"US$1,677",8.6,Excellent,"7,080 reviews",Deluxe King Room,1 km from downtown
Soho Grand Hotel,"US$1,534",8.3,Very Good,"1,616 reviews",Soho King Room,5.5 km from downtown
Sohotel,US$893,7.9,Good,"2,024 reviews",Standard Queen Room,5.5 km from downtown
Hotel Indigo NYC Downtown - Wall Street by IHG,"US$1,007",8.3,Very Good,"1,038 reviews",King Room with Roll-In Shower - Disability Access,7.3 km from downtown
Embassy Suites By Hilton New York Manhattan Times Square,"US$1,421",7.7,Good,"3,699 reviews",King Room - Hearing Access,1.9 km from downtown
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,"US$1,408",8.0,Very Good,"1,208 reviews",King Studio,1.9 km from downtown
InterContinental New York Barclay Hotel by IHG,"US$1,583",8.1,Very Good,"1,619 reviews",Classic Queen Room,1.5 km from downtown
Park Central,"US$1,227",7.4,Good,"7,637 reviews",Classic King Room,400 m from downtown
"Le Meridien New York, Central Park","US$1,407",6.9,Review score,453 reviews,King Room - Non-Smoking,500 m from downtown
Lex Hotel NYC,"US$1,102",8.3,Very Good,"1,525 reviews",Queen Room,3 km from downtown
Home2 Suites By Hilton New York Times Square,"US$1,364",7.8,Good,"1,328 reviews",Queen Studio Suite,1 km from downtown
"Club Quarters Hotel World Trade Center, New York","US$1,009",8.3,Very Good,"4,081 reviews",Small Queen Room,7 km from downtown
Delta Hotels by Marriott New York Times Square,"US$1,374",7.9,Good,"3,889 reviews",Double Room with Two Double Beds,1.6 km from downtown
The Ridge,"US$1,049",7.6,Good,"1,438 reviews",Standard Double Room,5.1 km from downtown
The Shelburne Sonesta New York,"US$1,120",8.3,Very Good,"2,243 reviews",Queen Room,2.2 km from downtown
ModernHaus SoHo,"US$1,638",8.2,Very Good,"1,047 reviews",Standard Queen Room,5.4 km from downtown
"The Beekman Tower, Trademark Collection by Wyndham","US$1,595",8.5,Very Good,"1,696 reviews","1 Queen Bed, Studio Apartment, Non-Smoking",2.1 km from downtown
YOTEL New York Times Square,US$906,7.7,Good,"6,475 reviews",Solo,1.5 km from downtown
The Westin New York at Times Square,"US$1,323",8.1,Very Good,915 reviews,"Traditional King, Guest room, 1 King",1.3 km from downtown
The Marlton Hotel,"US$1,607",8.4,Very Good,"1,149 reviews",Petite Full Room,4.1 km from downtown
Pestana CR7 Times Square,US$968,8.7,Excellent,"2,546 reviews",ADA Comfort  Room,1.6 km from downtown
Hilton Club The Central at 5th New York,"US$1,483",9.1,Wonderful,833 reviews,King Studio,1.3 km from downtown
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,"US$1,339",8.4,Very Good,"6,963 reviews",King Room - Non-Smoking,1.9 km from downtown
Park Lane New York,"US$1,726",7.9,Good,"5,089 reviews",Park Lane King,0.6 km from downtown
East Harlem Hostel,US$750,8.0,Very Good,196 reviews,Mixed Dormitory Room,4.7 km from downtown
The Chemists Club Hotel,"US$1,292",9.0,Wonderful,586 reviews,Deluxe King Room,1.8 km from downtown
NH Collection New York Madison Avenue,"US$1,320",8.5,Very Good,"1,909 reviews",Superior Room,2 km from downtown
414 Hotel,US$986,7.0,Good,63 reviews,Deluxe Queen Suite,1.1 km from downtown
Hyatt Place New York/Midtown-South,"US$1,603",8.3,Very Good,"2,900 reviews",King Room,2 km from downtown
Kimpton Hotel Eventi by IHG,"US$1,478",8.4,Very Good,458 reviews,King Room,2.4 km from downtown
Kixby,"US$1,098",8.5,Very Good,188 reviews,Superior Queen Room,2 km from downtown
EVEN Hotel New York - Times Square South by IHG,"US$1,349",8.5,Very Good,482 reviews,King Room - Mobility Access Tub - Non-Smoking,1.9 km from downtown
EVEN Hotel New York - Midtown East by IHG,"US$1,165",8.1,Very Good,"1,273 reviews",Standard King Room,2 km from downtown
Henn na Hotel New York,"US$1,156",8.6,Excellent,"3,250 reviews",Handicap Accessible Room,1.9 km from downtown
Moderne Hotel,"US$1,165",8.1,Very Good,"1,032 reviews",Deluxe Room,350 m from downtown
The Westin New York Grand Central,"US$1,525",8.4,Very Good,711 reviews,Traditional Double Room with Two Double Beds - Hearing Accessible,2.1 km from downtown
Royalton Park Avenue,"US$1,794",8.4,Very Good,"2,352 reviews",Superior Queen Room,2.7 km from downtown
The Renwick,"US$1,283",8.4,Very Good,"2,839 reviews",Gallery King Accessible,2 km from downtown
The Gardens Sonesta ES Suites New York,"US$1,946",8.3,Very Good,900 reviews,Junior Suite,1.6 km from downtown
SpringHill Suites by Marriott New York Manhattan/Times Square South,"US$1,424",8.2,Very Good,"7,732 reviews",Queen Room - Non-Smoking,1.9 km from downtown
Crowne Plaza HY36 Midtown Manhattan by IHG,"US$1,313",8.5,Very Good,526 reviews,Standard King Room,1.9 km from downtown
Aliz Hotel Times Square,"US$1,040",8.1,Very Good,"6,613 reviews",Standard King Guest Room,1.6 km from downtown
"Distrikt Hotel New York City, Tapestry Collection by Hilton","US$1,114",7.8,Good,313 reviews,Queen Room,1.6 km from downtown
Homewood Suites Midtown Manhattan Times Square South,"US$1,412",8.3,Very Good,"4,410 reviews",Premium King Studio - Non-Smoking,1.8 km from downtown
Candlewood Suites NYC -Times Square by IHG,"US$1,287",8.2,Very Good,"2,070 reviews",Queen Studio - Disability Access,1.6 km from downtown
Radio Hotel,"US$1,008",7.7,Good,"1,761 reviews",Standard Studio,9.8 km from downtown
Hilton Garden Inn New York Central Park South-Midtown West,"US$1,233",7.6,Good,"8,703 reviews",King Room with Roll-In Shower - Mobility and Hearing Access,450 m from downtown
Hilton Club West 57th Street New York,"US$1,364",9.0,Wonderful,143 reviews,King Studio,0.5 km from downtown
The Historic Blue Moon Hotel - NYC,"US$1,525",7.8,Good,176 reviews,Pied - a - Terre,5.5 km from downtown
Casablanca Hotel by Library Hotel Collection,"US$1,365",9.1,Wonderful,789 reviews,Deluxe Queen Room,1.3 km from downtown
Renaissance New York Midtown Hotel,"US$1,795",8.8,Excellent,"1,610 reviews",Standard King Room - Hearing Accessible,2 km from downtown
New York Marriott Marquis,"US$1,907",8.3,Very Good,"3,077 reviews",King Room with Sofa Bed (Upon Request),1.1 km from downtown
The Benjamin Royal Sonesta New York,"US$1,726",8.2,Very Good,847 reviews,Queen Room,1.5 km from downtown
Hotel Indigo Lower East Side New York by IHG,"US$1,112",7.4,Good,514 reviews,Standard Double Room with View,5.2 km from downtown
Hyatt Union Square New York,"US$1,815",7.4,Good,275 reviews,King Room with Courtyard View,3.9 km from downtown
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,"US$1,152",7.9,Good,"1,161 reviews",King Room,0.7 km from downtown
Madison LES Hotel,US$959,7.4,Good,"1,673 reviews",Deluxe Queen Room,6.3 km from downtown
Freehand New York,"US$1,125",8.0,Very Good,"2,389 reviews",Cozy Queen,3.1 km from downtown
Pestana Park Avenue,"US$1,149",8.8,Excellent,982 reviews,Cabin,1.9 km from downtown
Courtyard New York Manhattan/Upper East Side,"US$1,483",7.6,Good,621 reviews,King Room,3.3 km from downtown
Tempo By Hilton New York Times Square,"US$1,254",8.6,Excellent,926 reviews,King Room,1 km from downtown
Residence Inn by Marriott New York Manhattan/Times Square,"US$1,755",8.2,Very Good,"7,030 reviews",King Studio Room with Queen Sofa Bed,1.7 km from downtown
voco Times Square South New York by IHG,"US$1,338",8.2,Very Good,"3,842 reviews",Standard Double Room,1.8 km from downtown
Hotel Indigo NYC Financial District by IHG,"US$1,115",8.9,Excellent,"1,661 reviews",Standard King Room,7.2 km from downtown
"The Langham, New York, Fifth Avenue","US$3,034",9.1,Wonderful,504 reviews,Superior Room with King Bed,2 km from downtown
citizenM New York Bowery,"US$1,139",8.7,Excellent,"3,252 reviews",King Room,5.4 km from downtown
private room in East Village apartment,US$600,4.6,Review score,20 reviews,Single Room with Shared Bathroom,4.5 km from downtown
SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,"US$1,398",8.0,Very Good,345 reviews,"Studio, 1 King",3.1 km from downtown
Hilton Garden Inn New York/Manhattan-Chelsea,"US$1,173",7.6,Good,"3,794 reviews",King Room,2.5 km from downtown
Four Points by Sheraton Manhattan Midtown West,"US$1,594",8.3,Very Good,"1,877 reviews",Queen Room,2 km from downtown
Residence Inn New York Downtown Manhattan/Financial District,"US$1,475",8.2,Very Good,728 reviews,"Corner City View Studio, Larger Studio, 1 King, Skyline view",7.1 km from downtown
Hyatt Centric Times Square New York,"US$1,279",8.4,Very Good,"1,413 reviews",King Room,1.2 km from downtown
Holiday Inn Lower East Side by IHG,"US$1,096",7.8,Good,"1,249 reviews",King Room - Hearing Accessible/Non-Smoking,5.6 km from downtown
Holiday Inn Express - Times Square South by IHG,"US$1,383",8.2,Very Good,"2,777 reviews",Standard King Room,2 km from downtown
New York Marriott Downtown,"US$2,845",7.6,Good,279 reviews,Deluxe King Room - Hearing Accessible,7.1 km from downtown
Tribeca Hotel FiDi,"US$1,200",6.0,Review score,131 reviews,Queen Suite,7.2 km from downtown
The Ludlow Hotel,"US$1,595",9.0,Wonderful,"1,114 reviews",Double Room,5.2 km from downtown
"33 Hotel, New York City, Seaport","US$1,082",8.8,Excellent,685 reviews,Superior Courtyard King,6.9 km from downtown
Orchard Street Hotel,"US$1,092",7.1,Good,584 reviews,Orchard Full,5.3 km from downtown
Courtyard by Marriott New York Manhattan/ Fifth Avenue,"US$1,453",7.8,Good,"1,419 reviews",Queen Room,1.8 km from downtown
Executive Hotel Le Soleil New York,"US$2,315",8.7,Excellent,"4,644 reviews",Executive Queen Room,2 km from downtown
"Hotel Seville Nomad, in the Unbound Collection by Hyatt","US$1,466",8.1,Very Good,"1,559 reviews",Queen Room with Accessible Shower,2.6 km from downtown
Life Hotel New York,"US$1,157",8.0,Very Good,904 reviews,Double Room,2.4 km from downtown
Heritage Hotel New York City,US$871,7.4,Good,"3,795 reviews",King Room - Non-Smoking,2.8 km from downtown
1 Hotel Central Park,"US$2,152",8.4,Very Good,560 reviews,Queen Room,0.6 km from downtown
"11 Howard, New York, a Member of Design Hotels","US$1,356",7.6,Good,415 reviews,Queen Room,5.6 km from downtown
The Peninsula New York,"US$4,725",9.0,Wonderful,529 reviews,Superior King Room,0.9 km from downtown
Shoreham Hotel,"US$1,070",7.3,Good,"3,442 reviews",Standard Queen Room,0.8 km from downtown
Courtyard New York Manhattan/Midtown West,"US$1,953",8.6,Excellent,"2,015 reviews",Primary King Room - Hearing Accessible,2.1 km from downtown
"Thompson Central Park New York, by Hyatt","US$1,833",8.2,Very Good,791 reviews,King Room with Accessible Tub - Disability Access,0.5 km from downtown
The St. Regis New York,"US$4,739",7.9,Good,126 reviews,Superior King Room - Butler Service,1 km from downtown
The Maritime Hotel,"US$1,417",8.7,Excellent,786 reviews,Standard Queen Room,3.4 km from downtown
Residence Inn by Marriott New York Manhattan/Central Park,"US$1,534",8.5,Very Good,"2,749 reviews",Standard Studio with Times Square View,450 m from downtown
Sonder Henri on 24,US$969,7.7,Good,241 reviews,King Room,2.9 km from downtown
Concorde Hotel New York,"US$1,411",8.7,Excellent,"1,709 reviews",Deluxe Queen Room,1.3 km from downtown
Courtyard New York Manhattan/Times Square,"US$1,348",8.1,Very Good,"3,044 reviews",King Room,1.6 km from downtown
WestHouse Hotel New York,"US$2,118",8.1,Very Good,"1,872 reviews",King Room,400 m from downtown
AC Hotel by Marriott New York Times Square,"US$1,346",8.7,Excellent,641 reviews,King Room - Hearing Accessible,1.6 km from downtown
Roxy Hotel New York,"US$1,643",8.6,Excellent,"1,110 reviews",Standard  Room,5.8 km from downtown
The Gatsby Hotel,"US$1,092",7.1,Good,657 reviews,Gatsby Full,5 km from downtown
Hotel Barrière Fouquet's New York,"US$4,183",9.3,Wonderful,48 reviews,Deluxe King Room,5.5 km from downtown
Fitzpatrick Grand Central,"US$1,580",8.5,Very Good,636 reviews,Deluxe Room,1.8 km from downtown
The Wallace Hotel,"US$1,789",9.3,Wonderful,"1,780 reviews",Superior Queen,1.5 km from downtown
The Luxury Collection Hotel Manhattan Midtown,"US$1,840",8.0,Very Good,414 reviews,Deluxe Queen Room with City View,0.5 km from downtown
INNSiDE by Meliá New York Nomad,"US$1,534",8.4,Very Good,"1,036 reviews",The INNSiDE Room - Queen,2.6 km from downtown
Hampton Inn Manhattan Chelsea,"US$1,387",7.3,Good,"1,811 reviews",Queen Room,2.9 km from downtown
"Gild Hall, A Thompson Hotel, by Hyatt","US$1,196",8.5,Very Good,369 reviews,King Room,7 km from downtown
citizenM New York Times Square,"US$1,183",8.8,Excellent,"3,959 reviews",King Room,0.8 km from downtown
Millennium Premier New York Times Square,"US$1,126",7.3,Good,"1,154 reviews",Premier Queen Room,1.2 km from downtown
OYO Times Square,US$792,6.5,Review score,"2,135 reviews",Run of House,1 km from downtown
Broadway Plaza Hotel,"US$1,211",9.1,Wonderful,"1,144 reviews",Deluxe King (Renovated room),2.7 km from downtown
Graduate by Hilton New York,"US$1,237",8.8,Excellent,"4,408 reviews",Graduate King Room,2.6 km from downtown
Gansevoort Meatpacking,"US$1,886",8.1,Very Good,"1,159 reviews",Accessible Queen Superior Room,3.7 km from downtown
Canal Loft Hotel,"US$1,301",6.8,Review score,"1,743 reviews",Deluxe Queen Room,5.9 km from downtown
"Dream Downtown, by Hyatt","US$1,387",7.3,Good,"1,459 reviews",Queen Room - Bronze,3.4 km from downtown
AKA Central Park,"US$2,500",8.6,Excellent,281 reviews,Studio Deluxe,0.7 km from downtown
The Michelangelo Hotel,"US$1,381",8.5,Very Good,"1,756 reviews",Deluxe King Room,0.7 km from downtown
"The Standard, High Line New York","US$1,670",8.0,Very Good,"1,866 reviews",Standard Queen Room,3.7 km from downtown
The Prince Kitano New York,"US$1,675",8.7,Excellent,"1,107 reviews",Superior King Room,2.1 km from downtown
Hampton Inn Times Square Central,"US$1,380",8.4,Very Good,"2,831 reviews",King Room - Non-Smoking,1.5 km from downtown
Hotel Boutique at Grand Central,US$959,8.3,Very Good,"1,523 reviews",Small Queen Room,1.8 km from downtown
AL Shami 408,"US$1,013",10,Exceptional,1 review,Double Room,1.9 km from downtown
Loews Regency New York Hotel,"US$3,055",8.2,Very Good,199 reviews,Superior King Room,1.2 km from downtown
Renaissance New York Times Square by Marriott,"US$1,610",8.4,Very Good,"2,162 reviews",King Room with Adapted Tub - Mobility Accessible,1 km from downtown
Da Vinci Hotel,"US$1,126",7.5,Good,"1,514 reviews",Economy Single Room,250 m from downtown
"Hotel 50 Bowery, part of JdV by Hyatt","US$1,149",8.6,Excellent,952 reviews,King Room,5.9 km from downtown
Little Charlie Hotel,"US$1,146",8.5,Very Good,611 reviews,Deluxe Double Room,2 km from downtown
Pendry Manhattan West,"US$3,501",9.2,Wonderful,190 reviews,Deluxe City King,2.2 km from downtown
San Carlos Hotel New York,"US$1,188",8.8,Excellent,"4,042 reviews",Deluxe Room - King,1.6 km from downtown
